"transaction_id","product_id","customer_id","transaction_date","online_order","order_status","standard_cost"
8753,67,977,2017-02-09,false,Approved,380.74
8754,39,3258,2017-03-23,false,Approved,582.48
8755,58,614,2017-02-07,false,Approved,141.40
8756,24,2539,2017-11-20,false,Approved,820.78
8757,91,444,2017-04-10,false,Approved,75.26
8758,63,117,2017-12-19,true,Approved,99.59
8759,22,668,2017-04-19,true,Approved,45.26
8760,28,3301,2017-03-18,false,Approved,1082.36
8761,82,903,2017-05-02,false,Approved,689.18
8762,86,2838,2017-12-15,false,Approved,464.72
8763,13,799,2017-07-01,false,Approved,589.27
8764,28,243,2017-08-10,true,Approved,1516.13
8765,35,1544,2017-02-04,true,Approved,154.40
8766,77,1953,2017-08-12,false,Approved,108.76
8767,0,1953,2017-04-11,false,Approved,75.26
8768,74,2773,2017-03-31,false,Approved,400.91
8769,83,1629,2017-12-04,false,Approved,675.03
8770,77,283,2017-06-25,true,Approved,795.10
8771,98,2174,2017-10-10,false,Approved,101.58
8772,62,204,2017-07-09,true,Approved,298.72
8773,79,1830,2017-08-23,false,Approved,675.03
8774,74,2733,2017-04-30,true,Approved,400.91
8775,8,1812,2017-12-08,false,Approved,1516.13
8776,20,2544,2017-03-07,true,Approved,1580.47
8777,12,502,2017-03-06,false,Approved,161.60
8778,6,2049,2017-08-08,true,Approved,448.90
8779,58,76,2017-11-13,true,Approved,829.51
8780,85,613,2017-12-27,false,Approved,400.91
8781,48,1547,2017-12-03,false,Approved,950.52
8782,68,2696,2017-02-09,false,Approved,44.71
8783,1,269,2017-04-24,true,Approved,954.82
8784,38,1578,2017-07-09,false,Approved,388.92
8785,92,3330,2017-06-10,false,Approved,1259.36
8786,75,1983,2017-12-28,false,Approved,863.95
8787,34,610,2017-11-14,true,Approved,464.72
8788,4,3268,2017-07-24,false,Approved,677.48
8789,34,215,2017-04-02,false,Approved,161.60
8790,98,356,2017-04-30,false,Approved,101.58
8791,61,420,2017-08-02,false,Approved,521.94
8792,46,1905,2017-01-31,true,Approved,74.51
8793,25,2093,2017-02-20,false,Approved,1203.40
8794,59,1337,2017-07-16,true,Approved,733.58
8795,12,2399,2017-04-08,false,Approved,709.48
8796,79,622,2017-03-15,false,Approved,818.01
8797,70,1990,2017-12-20,true,Approved,206.35
8798,71,3032,2017-07-05,true,Approved,1105.75
8799,60,140,2017-12-27,true,Approved,1759.85
8800,48,981,2017-12-05,true,Approved,950.52
8801,23,900,2017-09-22,true,Approved,612.88
8802,33,871,2017-03-10,true,Approved,1167.18
8803,24,3003,2017-07-30,true,Approved,820.78
8804,25,2877,2017-11-19,true,Approved,829.65
8805,9,304,2017-05-15,true,Approved,667.40
8806,82,2023,2017-06-15,true,Approved,829.65
8807,7,2822,2017-10-02,true,Approved,234.43
8808,12,2097,2017-11-22,false,Approved,161.60
8809,6,1450,2017-08-31,true,Approved,136.73
8810,0,1242,2017-06-28,false,Approved,45.26
8811,87,3003,2017-08-21,true,Approved,707.40
8812,46,2805,2017-10-28,false,Approved,248.82
8813,3,1567,2017-10-24,false,Approved,388.92
8814,48,980,2017-02-23,false,Approved,950.52
8815,52,338,2017-12-20,true,Approved,829.51
8816,66,1827,2017-06-22,false,Approved,525.33
8817,43,3056,2017-12-11,true,Approved,649.49
8818,33,2099,2017-02-14,false,Approved,1610.90
8819,90,3274,2017-04-12,false,Approved,290.41
8820,24,357,2017-02-08,false,Approved,820.78
8821,74,505,2017-11-17,false,Approved,950.52
8822,72,2404,2017-04-27,true,Approved,270.30
8823,42,2540,2017-10-28,true,Approved,1610.90
8824,58,1825,2017-11-20,true,Approved,141.40
8825,5,2639,2017-01-16,true,Approved,459.71
8826,47,514,2017-08-10,true,Approved,1531.42
8827,33,187,2017-03-22,true,Approved,1167.18
8828,1,644,2017-03-24,true,Approved,954.82
8829,30,2537,2017-06-09,true,Approved,448.90
8830,32,3364,2017-09-01,false,Approved,211.37
8831,16,2339,2017-11-05,true,Approved,1479.11
8832,39,989,2017-11-10,true,Approved,582.48
8833,95,1519,2017-07-18,false,Approved,933.84
8834,26,1330,2017-08-19,false,Approved,762.63
8835,32,270,2017-08-27,false,Approved,211.37
8836,97,547,2017-03-13,true,Approved,151.96
8837,86,2025,2017-08-14,false,Approved,125.07
8838,12,1437,2017-06-23,true,Approved,161.60
8839,67,977,2017-06-05,true,Approved,380.74
8840,72,1621,2017-02-15,false,Approved,270.30
8841,38,2365,2017-04-27,false,Approved,826.51
8842,0,1772,2017-01-14,true,Approved,376.84
8843,26,570,2017-11-02,false,Approved,762.63
8844,0,1110,2017-05-05,false,Approved,84.99
8845,96,1746,2017-01-29,false,Approved,993.66
8846,83,422,2017-08-19,false,Approved,675.03
8847,97,2821,2017-08-11,false,Approved,151.96
8848,29,255,2017-03-30,true,Approved,407.54
8849,78,1767,2017-11-20,true,Approved,709.48
8850,0,1497,2017-05-10,false,Approved,297.43
8851,24,2380,2017-02-04,true,Approved,820.78
8852,84,2685,2017-10-26,true,Approved,215.14
8853,84,3264,2017-02-24,true,Approved,215.14
8854,11,1761,2017-11-10,true,Approved,764.96
8855,79,522,2017-02-24,true,Approved,818.01
8856,28,1970,2017-12-20,false,Approved,1082.36
8857,1,2247,2017-06-16,false,Approved,863.95
8858,68,3433,2017-01-22,true,Approved,44.71
8859,32,2634,2017-06-24,true,Approved,707.40
8860,61,610,2017-04-04,true,Approved,56.93
8861,61,771,2017-03-30,false,Approved,56.93
8862,85,1946,2017-10-03,false,Approved,205.36
8863,28,960,2017-03-07,false,Approved,1082.36
8864,31,857,2017-03-18,false,Approved,205.36
8865,17,1821,2017-11-14,true,Approved,57.74
8866,36,19,2017-09-19,false,Approved,74.51
8867,61,84,2017-12-02,true,Approved,56.93
8868,3,1915,2017-10-30,true,Approved,388.92
8869,40,2465,2017-06-13,true,Approved,874.90
8870,47,2253,2017-05-17,true,Approved,1531.42
8871,37,682,2017-04-05,true,Approved,248.82
8872,10,2097,2017-05-22,true,Approved,363.25
8873,47,109,2017-06-21,true,Approved,1531.42
8874,92,1938,2017-03-20,false,Approved,1259.36
8875,56,831,2017-03-05,true,Approved,137.90
8876,32,2012,2017-12-17,false,Approved,707.40
8877,19,495,2017-01-03,true,Approved,7.21
8878,0,2867,2017-07-14,true,Approved,53.62
8879,14,239,2017-03-18,true,Approved,1234.29
8880,58,2295,2017-08-30,false,Approved,141.40
8881,71,2374,2017-12-16,false,Approved,1105.75
8882,88,1217,2017-08-16,true,Approved,1479.11
8883,25,385,2017-10-13,false,Approved,1203.40
8884,91,2370,2017-12-10,true,Approved,513.85
8885,15,978,2017-05-29,false,Approved,13.44
8886,58,1691,2017-01-01,true,Approved,829.51
8887,7,875,2017-04-26,false,Approved,234.43
8888,79,622,2017-04-08,false,Approved,818.01
8889,35,1873,2017-08-31,true,Approved,154.40
8890,0,770,2017-10-05,false,Approved,137.90
8891,77,1688,2017-06-22,true,Approved,795.10
8892,73,1743,2017-06-19,false,Approved,333.18
8893,64,776,2017-11-14,false,Approved,1759.85
8894,35,1838,2017-04-23,false,Approved,154.40
8895,51,2062,2017-04-08,false,Approved,1203.40
8896,1,1736,2017-04-10,true,Approved,954.82
8897,76,2436,2017-01-15,true,Approved,513.85
8898,25,254,2017-04-14,true,Approved,829.65
8899,60,3074,2017-12-20,true,Approved,1759.85
8900,34,3181,2017-11-29,false,Approved,161.60
8901,57,701,2017-11-28,false,Approved,260.14
8902,80,2684,2017-11-22,true,Approved,933.84
8903,19,1536,2017-11-25,true,Approved,7.21
8904,100,2798,2017-07-08,false,Approved,1234.29
8905,66,13,2017-02-16,false,Approved,589.27
8906,39,508,2017-07-28,false,Approved,582.48
8907,100,1343,2017-01-07,true,Approved,1234.29
8908,70,2166,2017-10-15,true,Approved,297.43
8909,37,2009,2017-04-08,true,Approved,248.82
8910,4,3262,2017-10-14,false,Approved,677.48
8911,65,194,2017-02-09,false,Approved,778.69
8912,56,674,2017-08-30,false,Approved,137.90
8913,45,2185,2017-08-06,false,Approved,84.99
8914,89,669,2017-08-02,true,Approved,57.74
8915,72,21,2017-12-24,false,Approved,270.30
8916,40,2911,2017-01-15,true,Approved,874.90
8917,40,2445,2017-10-17,false,Approved,874.90
8918,48,2232,2017-02-26,false,Approved,950.52
8919,86,625,2017-04-15,true,Approved,464.72
8920,86,2524,2017-03-28,true,Approved,125.07
8921,35,3377,2017-06-08,true,Approved,154.40
8922,87,413,2017-07-16,false,Approved,44.71
8923,6,1104,2017-03-09,false,Approved,136.73
8924,54,3048,2017-11-19,false,Approved,13.44
8925,0,719,2017-09-11,true,Approved,
8926,96,1090,2017-10-20,true,Approved,1043.77
8927,78,1400,2017-01-07,true,Approved,709.48
8928,24,1952,2017-02-02,false,Approved,820.78
8929,97,1227,2017-04-15,true,Approved,151.96
8930,98,3250,2017-10-06,false,Approved,101.58
8931,35,669,2017-12-22,true,Approved,154.40
8932,27,2565,2017-09-06,false,Approved,388.72
8933,55,1124,2017-04-13,false,Approved,598.76
8934,41,1812,2017-01-22,false,Approved,312.74
8935,66,2476,2017-12-04,false,Approved,589.27
8936,30,1988,2017-07-13,false,Approved,448.90
8937,62,1154,2017-02-22,true,Approved,298.72
8938,61,2351,2017-05-15,true,Approved,56.93
8939,15,2556,2017-12-16,false,Approved,748.90
8940,91,2462,2017-09-12,false,Cancelled,75.26
8941,90,1619,2017-03-22,false,Approved,290.41
8942,17,3177,2017-02-05,true,Approved,614.80
8943,91,3189,2017-11-04,true,Approved,75.26
8944,89,2082,2017-01-22,false,Approved,57.74
8945,12,2635,2017-10-17,false,Approved,161.60
8946,74,52,2017-09-05,false,Approved,400.91
8947,6,148,2017-01-17,false,Approved,136.73
8948,1,1371,2017-12-04,true,Approved,954.82
8949,4,3067,2017-05-19,true,Approved,677.48
8950,39,3302,2017-02-03,false,Approved,582.48
8951,37,2202,2017-03-31,true,Approved,248.82
8952,30,556,2017-06-25,false,Approved,448.90
8953,29,436,2017-11-10,true,Approved,407.54
8954,6,750,2017-07-27,false,Approved,136.73
8955,12,2572,2017-05-12,true,Approved,161.60
8956,0,2832,2017-06-20,true,Approved,
8957,6,2530,2017-08-20,false,Approved,136.73
8958,0,1640,2017-03-24,true,Approved,400.13
8959,35,928,2017-10-04,true,Approved,954.82
8960,97,730,2017-08-15,false,Approved,151.96
8961,29,1181,2017-03-05,true,Approved,407.54
8962,39,3061,2017-09-22,true,Approved,582.48
8963,88,1695,2017-09-28,true,Approved,1479.11
8964,73,941,2017-11-25,true,Approved,333.18
8965,21,2629,2017-11-16,false,Approved,363.25
8966,33,985,2017-12-16,false,Approved,1610.90
8967,0,1636,2017-05-14,false,Approved,290.41
8968,34,1422,2017-11-13,true,Approved,464.72
8969,0,1165,2017-10-11,true,Approved,215.03
8970,75,1054,2017-04-28,false,Approved,863.95
8971,36,2625,2017-01-23,true,Approved,507.58
8972,63,1675,2017-01-17,false,Approved,99.59
8973,84,2573,2017-11-15,false,Approved,215.14
8974,98,2329,2017-12-20,true,Approved,215.03
8975,7,3086,2017-11-18,false,Approved,1167.18
8976,60,3426,2017-11-15,true,Approved,1759.85
8977,29,2182,2017-02-02,false,Approved,230.09
8978,86,358,2017-02-27,false,Approved,125.07
8979,87,1956,2017-11-27,false,Approved,707.40
8980,27,2641,2017-10-11,true,Approved,388.72
8981,14,584,2017-08-20,true,Approved,1234.29
8982,17,353,2017-03-28,true,Approved,614.80
8983,85,1595,2017-05-11,false,Approved,400.91
8984,0,1731,2017-10-27,false,Approved,290.41
8985,77,863,2017-06-20,false,Approved,795.10
8986,3,1095,2017-12-16,false,Approved,388.92
8987,73,2386,2017-10-07,false,Approved,333.18
8988,28,1084,2017-04-02,true,Approved,1082.36
8989,0,621,2017-06-26,true,Approved,528.43
8990,45,1439,2017-08-15,true,Approved,84.99
8991,31,3066,2017-05-12,true,Approved,173.18
8992,26,960,2017-10-13,true,Approved,762.63
8993,1,2806,2017-06-08,false,Approved,954.82
8994,58,1790,2017-09-21,false,Approved,141.40
8995,14,2968,2017-07-12,false,Approved,1105.75
8996,57,2726,2017-05-30,false,Approved,260.14
8997,66,377,2017-07-05,true,Approved,525.33
8998,22,1185,2017-01-13,true,Approved,45.26
8999,29,1728,2017-09-24,false,Approved,407.54
9000,42,3109,2017-03-23,false,Approved,1610.90
9001,42,2414,2017-12-26,false,Approved,1610.90
9002,25,1419,2017-02-14,true,Approved,829.65
9003,93,3327,2017-10-11,false,Approved,230.09
9004,38,2132,2017-11-11,true,Approved,388.92
9005,50,2730,2017-07-07,false,Approved,131.92
9006,44,3283,2017-11-16,true,Approved,108.76
9007,83,1929,2017-01-08,false,Approved,675.03
9008,79,3293,2017-11-25,true,Approved,675.03
9009,1,1969,2017-10-30,true,Approved,954.82
9010,10,2401,2017-09-16,true,Approved,363.25
9011,86,1533,2017-01-05,true,Approved,125.07
9012,57,1022,2017-10-08,true,Approved,260.14
9013,44,3169,2017-01-05,false,Approved,108.76
9014,53,853,2017-01-08,true,Approved,101.58
9015,24,2560,2017-04-21,false,Approved,820.78
9016,43,1482,2017-10-23,false,Approved,649.49
9017,42,3133,2017-04-21,false,Approved,1610.90
9018,67,432,2017-05-15,true,Approved,376.84
9019,89,2993,2017-05-15,false,Cancelled,57.74
9020,41,3014,2017-09-29,true,Approved,748.90
9021,8,3434,2017-10-27,false,Approved,1516.13
9022,88,1546,2017-03-03,true,Approved,381.10
9023,21,474,2017-09-24,true,Approved,380.74
9024,2,635,2017-09-14,false,Approved,53.62
9025,46,1348,2017-09-07,false,Approved,248.82
9026,72,2630,2017-04-07,false,Approved,270.30
9027,38,1527,2017-02-04,false,Approved,826.51
9028,59,218,2017-07-02,true,Approved,1259.36
9029,48,1000,2017-10-21,true,Approved,950.52
9030,48,2036,2017-12-05,false,Approved,950.52
9031,32,748,2017-04-27,true,Approved,707.40
9032,17,2333,2017-05-08,true,Approved,614.80
9033,31,2088,2017-12-21,true,Approved,173.18
9034,92,2737,2017-09-05,true,Approved,1259.36
9035,56,3245,2017-07-28,true,Approved,612.88
9036,81,818,2017-10-03,true,Approved,521.94
9037,49,892,2017-01-02,false,Approved,400.13
9038,1,3165,2017-03-05,true,Approved,954.82
9039,4,8,2017-10-21,true,Approved,677.48
9040,65,2860,2017-01-08,true,Approved,778.69
9041,6,1153,2017-12-13,true,Approved,136.73
9042,15,1957,2017-10-10,true,Approved,748.90
9043,14,2943,2017-05-26,false,Approved,1105.75
9044,12,34,2017-02-13,false,Approved,161.60
9045,78,418,2017-01-26,true,Approved,709.48
9046,93,1720,2017-07-17,true,Approved,230.09
9047,17,2951,2017-03-21,false,Approved,57.74
9048,47,2127,2017-11-28,false,Approved,1531.42
9049,28,1985,2017-01-12,false,Approved,1082.36
9050,49,2550,2017-06-09,false,Approved,400.13
9051,44,1694,2017-09-10,false,Approved,108.76
9052,99,2067,2017-09-28,true,Approved,770.89
9053,98,662,2017-04-21,false,Approved,215.03
9054,2,3182,2017-03-09,false,Approved,53.62
9055,18,706,2017-07-30,true,Approved,689.18
9056,22,2285,2017-07-11,true,Approved,431.45
9057,90,302,2017-01-20,false,Approved,290.41
9058,21,761,2017-07-24,true,Approved,380.74
9059,14,619,2017-02-25,false,Approved,1234.29
9060,21,1398,2017-07-06,true,Approved,380.74
9061,94,2796,2017-01-02,true,Approved,993.66
9062,74,1959,2017-05-10,true,Approved,400.91
9063,99,913,2017-09-08,false,Approved,770.89
9064,93,1602,2017-10-13,false,Approved,230.09
9065,5,3447,2017-03-17,false,Approved,677.48
9066,70,1539,2017-07-17,false,Approved,297.43
9067,7,2720,2017-08-04,false,Approved,1167.18
9068,30,2145,2017-06-19,false,Approved,448.90
9069,81,3264,2017-02-13,false,Approved,521.94
9070,7,2230,2017-10-26,true,Approved,234.43
9071,37,823,2017-10-14,false,Approved,248.82
9072,14,2431,2017-05-26,true,Approved,1234.29
9073,18,979,2017-06-03,true,Approved,689.18
9074,39,1014,2017-09-22,false,Approved,582.48
9075,1,172,2017-12-19,true,Approved,954.82
9076,15,1906,2017-05-24,true,Approved,748.90
9077,47,3151,2017-03-25,true,Approved,1531.42
9078,91,329,2017-05-19,true,Approved,513.85
9079,79,2351,2017-01-22,true,Approved,818.01
9080,50,2909,2017-01-15,true,Approved,211.37
9081,32,328,2017-10-25,false,Approved,211.37
9082,66,963,2017-07-04,true,Approved,589.27
9083,72,1346,2017-12-15,true,Approved,270.30
9084,37,2686,2017-12-01,false,Approved,248.82
9085,41,1455,2017-11-28,false,Approved,312.74
9086,69,1356,2017-12-08,true,Approved,795.10
9087,78,878,2017-06-24,true,Approved,709.48
9088,90,601,2017-11-02,true,Approved,507.58
9089,48,2301,2017-07-13,false,Approved,950.52
9090,51,2886,2017-05-24,false,Approved,1203.40
9091,35,2720,2017-07-04,false,Approved,954.82
9092,61,882,2017-04-11,false,Approved,56.93
9093,57,91,2017-12-15,false,Approved,260.14
9094,61,498,2017-11-09,true,Approved,521.94
9095,30,526,2017-07-29,true,Approved,448.90
9096,79,3075,2017-09-16,false,Approved,818.01
9097,17,2172,2017-02-08,true,Approved,614.80
9098,0,1074,2017-11-29,false,Approved,131.92
9099,38,860,2017-09-03,true,Approved,388.92
9100,93,1389,2017-02-19,true,Approved,230.09
9101,30,744,2017-04-24,false,Approved,448.90
9102,81,2480,2017-07-04,false,Approved,649.49
9103,19,739,2017-10-12,true,Approved,7.21
9104,70,3195,2017-11-11,true,Approved,297.43
9105,42,2549,2017-11-03,true,Approved,1610.90
9106,49,153,2017-05-02,true,Approved,400.13
9107,81,1221,2017-11-16,true,Approved,649.49
9108,14,2418,2017-11-07,false,Approved,1234.29
9109,43,1585,2017-07-08,false,Approved,649.49
9110,13,1286,2017-10-30,false,Approved,826.51
9111,11,2576,2017-09-26,true,Approved,764.96
9112,56,2483,2017-04-17,false,Approved,137.90
9113,35,3364,2017-02-07,true,Approved,154.40
9114,63,1710,2017-10-11,true,Approved,762.63
9115,72,2889,2017-03-15,false,Approved,270.30
9116,13,123,2017-02-09,false,Approved,826.51
9117,50,3307,2017-05-31,false,Approved,211.37
9118,43,266,2017-11-24,true,Approved,649.49
9119,38,668,2017-09-22,true,Approved,826.51
9120,80,2627,2017-11-06,true,Approved,933.84
9121,13,2695,2017-12-17,true,Approved,589.27
9122,14,2614,2017-12-10,false,Approved,1105.75
9123,1,790,2017-03-01,false,Approved,954.82
9124,62,830,2017-07-23,true,Approved,298.72
9125,15,235,2017-12-28,false,Approved,748.90
9126,32,1076,2017-07-15,true,Approved,211.37
9127,0,1826,2017-08-12,false,Approved,45.26
9128,63,1451,2017-10-08,true,Approved,99.59
9129,89,3486,2017-04-27,true,Approved,57.74
9130,35,865,2017-06-10,true,Approved,154.40
9131,27,2830,2017-05-30,false,Approved,154.40
9132,15,2150,2017-01-03,true,Approved,748.90
9133,94,1630,2017-10-19,true,Approved,993.66
9134,0,2122,2017-12-07,false,Approved,290.41
9135,61,1973,2017-08-06,true,Approved,521.94
9136,41,598,2017-04-06,false,Approved,748.90
9137,25,1377,2017-04-16,false,Approved,829.65
9138,31,787,2017-10-16,false,Approved,173.18
9139,55,2847,2017-10-13,false,Approved,598.76
9140,69,1212,2017-10-20,false,Approved,594.68
9141,43,556,2017-06-04,true,Approved,649.49
9142,28,793,2017-01-12,false,Approved,1516.13
9143,46,88,2017-08-06,true,Approved,248.82
9144,77,1524,2017-05-18,false,Approved,795.10
9145,52,3343,2017-01-27,false,Approved,829.51
9146,4,2207,2017-09-21,true,Approved,677.48
9147,0,2149,2017-12-19,false,Approved,298.72
9148,69,2722,2017-06-12,false,Approved,594.68
9149,30,2522,2017-12-06,true,Approved,770.89
9150,93,234,2017-08-03,true,Approved,874.90
9151,26,1615,2017-03-24,false,Approved,762.63
9152,3,254,2017-08-27,false,Approved,388.92
9153,66,3143,2017-09-05,true,Approved,525.33
9154,21,3451,2017-12-15,true,Approved,363.25
9155,91,3120,2017-10-30,true,Approved,75.26
9156,0,2349,2017-01-17,false,Approved,53.62
9157,62,974,2017-12-24,false,Approved,298.72
9158,88,86,2017-12-30,true,Approved,1479.11
9159,35,717,2017-08-18,false,Approved,154.40
9160,3,1837,2017-11-10,false,Approved,388.92
9161,46,1588,2017-11-26,false,Approved,248.82
9162,27,408,2017-07-08,false,Approved,388.72
9163,2,1061,2017-12-02,true,Approved,53.62
9164,5,377,2017-12-24,false,Approved,459.71
9165,0,1719,2017-05-09,true,Approved,298.72
9166,42,1445,2017-10-03,true,Approved,1610.90
9167,35,2282,2017-06-27,false,Approved,154.40
9168,0,1840,2017-09-23,false,Approved,125.07
9169,48,990,2017-10-14,false,Approved,950.52
9170,12,1798,2017-04-12,false,Approved,709.48
9171,47,2341,2017-04-15,false,Approved,1531.42
9172,46,2515,2017-02-11,false,Approved,74.51
9173,49,1223,2017-08-04,false,Approved,400.13
9174,95,3132,2017-08-21,false,Approved,528.43
9175,0,551,2017-06-09,true,Approved,137.90
9176,0,3325,2017-07-08,true,Approved,400.13
9177,2,3068,2017-01-18,true,Approved,53.62
9178,58,486,2017-09-30,true,Approved,141.40
9179,63,538,2017-03-10,true,Approved,99.59
9180,55,1464,2017-08-06,false,Approved,598.76
9181,10,671,2017-02-04,true,Approved,363.25
9182,85,2648,2017-01-16,true,Approved,205.36
9183,4,597,2017-05-25,true,Approved,677.48
9184,69,656,2017-06-13,true,Approved,795.10
9185,25,3309,2017-07-21,false,Approved,1203.40
9186,71,1346,2017-01-13,true,Approved,1105.75
9187,0,2844,2017-10-22,false,Approved,
9188,24,3314,2017-03-08,true,Approved,820.78
9189,0,3251,2017-12-15,true,Approved,290.41
9190,29,1557,2017-10-16,false,Approved,407.54
9191,19,2999,2017-05-02,true,Approved,7.21
9192,33,850,2017-11-26,true,Approved,1167.18
9193,6,25,2017-09-17,false,Approved,136.73
9194,0,2575,2017-07-18,false,Approved,312.74
9195,90,324,2017-04-30,true,Approved,290.41
9196,51,364,2017-03-15,false,Approved,1203.40
9197,0,3481,2017-05-04,false,Approved,125.07
9198,85,2562,2017-09-04,true,Approved,205.36
9199,68,2637,2017-10-18,false,Approved,44.71
9200,52,3127,2017-08-15,false,Approved,829.51
9201,70,348,2017-06-22,false,Approved,297.43
9202,44,1597,2017-12-04,true,Approved,108.76
9203,49,235,2017-06-18,true,Approved,400.13
9204,99,802,2017-06-07,true,Approved,770.89
9205,2,404,2017-01-25,false,Approved,53.62
9206,14,3061,2017-07-23,true,Approved,1234.29
9207,86,56,2017-03-14,false,Approved,125.07
9208,17,3060,2017-03-12,true,Approved,614.80
9209,32,3188,2017-01-22,false,Approved,211.37
9210,33,3465,2017-04-21,false,Approved,1610.90
9211,2,986,2017-09-10,true,Approved,53.62
9212,30,2777,2017-05-18,false,Approved,448.90
9213,61,177,2017-09-23,false,Approved,521.94
9214,88,3203,2017-07-26,false,Approved,381.10
9215,80,1551,2017-10-17,true,Approved,933.84
9216,93,2086,2017-03-25,true,Approved,874.90
9217,58,684,2017-11-18,true,Approved,141.40
9218,32,2633,2017-05-07,false,Approved,211.37
9219,88,3278,2017-12-08,true,Approved,381.10
9220,79,1156,2017-08-17,false,Approved,818.01
9221,31,317,2017-10-11,true,Approved,173.18
9222,32,2017,2017-02-15,true,Approved,211.37
9223,82,1556,2017-09-02,false,Approved,689.18
9224,36,724,2017-11-12,false,Approved,507.58
9225,34,2401,2017-09-07,true,Approved,464.72
9226,0,578,2017-05-02,false,Approved,53.62
9227,74,267,2017-01-23,false,Approved,950.52
9228,55,2676,2017-03-25,true,Approved,598.76
9229,85,507,2017-02-10,true,Approved,205.36
9230,47,2845,2017-07-31,false,Approved,1531.42
9231,0,3138,2017-02-25,false,Approved,
9232,29,3496,2017-04-15,true,Approved,407.54
9233,49,1608,2017-02-26,true,Approved,400.13
9234,38,1039,2017-01-20,false,Approved,388.92
9235,14,2566,2017-10-04,false,Approved,1234.29
9236,84,895,2017-03-06,false,Approved,215.14
9237,38,1460,2017-12-18,true,Approved,388.92
9238,53,619,2017-02-05,true,Approved,101.58
9239,38,2439,2017-12-12,true,Approved,826.51
9240,10,11,2017-10-30,true,Approved,363.25
9241,9,1384,2017-03-03,false,Approved,667.40
9242,91,262,2017-06-15,false,Approved,513.85
9243,99,2845,2017-11-07,false,Approved,770.89
9244,71,1976,2017-03-28,true,Approved,1105.75
9245,10,1713,2017-01-28,true,Approved,333.18
9246,39,204,2017-05-21,true,Approved,582.48
9247,45,1482,2017-03-24,true,Approved,84.99
9248,88,1122,2017-09-05,false,Approved,381.10
9249,52,24,2017-11-13,true,Approved,829.51
9250,0,366,2017-03-14,false,Approved,290.41
9251,35,1625,2017-05-13,false,Approved,154.40
9252,41,3111,2017-11-12,false,Approved,312.74
9253,95,2147,2017-08-27,true,Approved,933.84
9254,79,946,2017-09-16,false,Approved,675.03
9255,61,1645,2017-03-18,true,Approved,56.93
9256,48,1087,2017-12-16,true,Approved,950.52
9257,82,1329,2017-06-13,false,Approved,689.18
9258,81,65,2017-08-16,false,Approved,521.94
9259,28,2931,2017-06-19,false,Approved,1082.36
9260,1,2687,2017-06-25,false,Approved,863.95
9261,50,584,2017-01-09,false,Approved,131.92
9262,37,3048,2017-11-26,false,Approved,248.82
9263,62,248,2017-08-11,false,Approved,298.72
9264,13,523,2017-05-15,false,Approved,589.27
9265,21,1571,2017-12-27,false,Approved,380.74
9266,39,704,2017-02-24,true,Approved,582.48
9267,35,1232,2017-08-27,false,Approved,154.40
9268,16,2064,2017-05-06,true,Approved,1479.11
9269,76,986,2017-09-14,false,Approved,513.85
9270,49,529,2017-03-20,false,Approved,400.13
9271,63,1623,2017-05-23,false,Approved,762.63
